,business_id ,categories,city,is_open,latitude,longitude,postal_code,pricerange,review_count,stars,state
18,-2q4dnUw0gGJniGW2aPamQ,"['Restaurants', 'Mexican']",Champaign,0,40.0940675,-88.2457853,61820,0,4,2.0,IL
26,fl2TPNWrchkCbNEg0utjvw,"['Diners', 'Breakfast & Brunch', 'Burgers', 'American (New)', 'Ice Cream & Frozen Yogurt', 'Fast Food', 'Restaurants', 'Food']",Urbana,1,40.1331967,-88.198577,61802,1,14,2.0,IL
79,MqhxKfI7oMjUTMqH2gnhyg,"['Fast Food', 'Restaurants', 'Burgers']",Champaign,1,40.1375686,-88.2430516,61820,1,10,1.5,IL
132,Q2bnRzJ8AC-3lWyQY8DZqA,"['Restaurants', 'Barbeque']",Urbana,0,40.1068632,-88.2218637,61803,1,8,2.5,IL
141,XtJj67rKT16a4tQw7bxtyw,"['Restaurants', 'Thai']",Champaign,0,40.110554,-88.232373,61820,1,13,2.5,IL
295,89-bwvH5mWWOOb00VTUyFQ,"['Burgers', 'Sports Bars', 'American (Traditional)', 'Restaurants', 'Bars', 'Nightlife']",Savoy,1,40.0695988403,-88.2490539551,61874,2,24,2.5,IL
564,nh1-ax9wPNCqskcJYIWogg,"['Italian', 'Restaurants']",Champaign,0,40.103246,-88.244236,61820,2,16,3.0,IL
915,UmZdQID7QJoyg2R92mK3HA,"['Thai', 'Restaurants', 'Sushi Bars']",Urbana,1,40.112708,-88.209446,61801,2,161,4.0,IL
1036,OC5BqhpPhnJJr7IXLsXIbg,"['Bars', 'Nightlife', 'Restaurants', 'American (New)']",Champaign,1,40.1102514,-88.2335202,61820,2,4,3.0,IL
1037,wRJQdkMCbvIj269WjXtuyQ,"['Nightlife', 'Bars', 'Pubs', 'Restaurants', 'American (Traditional)']",Champaign,0,40.1093708,-88.2308592,61820,1,11,3.0,IL
1038,62Ibju8UmUZtPIBLDS_nUw,"['Fish & Chips', 'Restaurants', 'American (Traditional)']",Champaign,1,40.1221402,-88.2435608,61820,2,4,4.0,IL
1059,uMHk2kudlAN94fFVNdYhxw,"['Restaurants', 'Seafood', 'Fast Food']",Champaign,1,40.1290679,-88.2583071,61820,0,3,2.5,IL
