business_id ,categories,city,is_open,latitude,longitude,name,postal_code,pricerange,review_count,stars,state
fl2TPNWrchkCbNEg0utjvw,"['Diners', 'Breakfast & Brunch', 'Burgers', 'American (New)', 'Ice Cream & Frozen Yogurt', 'Fast Food', 'Restaurants', 'Food']",Urbana,1,40.1331967,-88.198577,Steak 'n Shake,61802,1,14,2.0,IL
MqhxKfI7oMjUTMqH2gnhyg,"['Fast Food', 'Restaurants', 'Burgers']",Champaign,1,40.1375686,-88.2430516,McDonald's,61820,1,10,1.5,IL
89-bwvH5mWWOOb00VTUyFQ,"['Burgers', 'Sports Bars', 'American (Traditional)', 'Restaurants', 'Bars', 'Nightlife']",Savoy,1,40.0695988403,-88.2490539551,Applebee's,61874,2,24,2.5,IL
UmZdQID7QJoyg2R92mK3HA,"['Thai', 'Restaurants', 'Sushi Bars']",Urbana,1,40.112708,-88.209446,Siam Terrace,61801,2,161,4.0,IL
OC5BqhpPhnJJr7IXLsXIbg,"['Bars', 'Nightlife', 'Restaurants', 'American (New)']",Champaign,1,40.1102514,-88.2335202,Papa D's Bar & Grill,61820,2,4,3.0,IL
62Ibju8UmUZtPIBLDS_nUw,"['Fish & Chips', 'Restaurants', 'American (Traditional)']",Champaign,1,40.1221402,-88.2435608,Tasty Fish Chicken & Grill,61820,2,4,4.0,IL
uMHk2kudlAN94fFVNdYhxw,"['Restaurants', 'Seafood', 'Fast Food']",Champaign,1,40.1290679,-88.2583071,Long John Silver's,61820,0,3,2.5,IL
wCoAzScVWpL9bsDsyf1EIQ,"['Fast Food', 'Burgers', 'Restaurants']",Urbana,1,40.1182287,-88.2044098,McDonald's,61803,1,6,2.0,IL
VHskIuH12SlaguUA83XmYA,"['Restaurants', 'Food', 'Fast Food']",Urbana,1,40.0974422,-88.190285,Burger King,61802,1,5,2.0,IL
X57f6FWZiwI1wOidPPhOrQ,"['Restaurants', 'Mexican']",Champaign,1,40.1298862,-88.2584824,Dos Reales,61820,1,170,4.0,IL
HbK6IfznbVToEaKVC0WcSg,"['American (Traditional)', 'Restaurants', 'Karaoke', 'Nightlife', 'Tapas Bars']",Champaign,1,40.1150169,-88.2461385,The Clark Bar,61820,1,16,4.5,IL
ZyOgY-z9sHdHp8_FDoQAJg,"['Restaurants', 'American (Traditional)', 'Beer Bar', 'Bars', 'Salad', 'Sports Bars', 'Nightlife', 'Soup', 'Burgers']",Champaign,1,40.0922834,-88.245524,Scotty's Brewhouse,61820,2,72,3.0,IL
AtcNNpbD5MeJj6J4MXpz5w,"['Nightlife', 'Bars', 'American (New)', 'Restaurants']",Monticello,1,40.0251258,-88.5730326,3 Ravens Food & Spirits,61856,2,29,4.0,IL
LyGab6ITDEMDI5E0YcC0Ng,"['Restaurants', 'Indian', 'Nightlife', 'Bars']",Champaign,1,40.1185125,-88.2449947,The Himalayan Chimney,61820,2,20,4.0,IL
tjflM9icU-y6xqNntOXtOQ,"['Food', 'Grocery', 'Restaurants', 'International Grocery', 'Ethnic Food', 'Specialty Food', 'American (New)']",Champaign,1,40.115755,-88.232332,Far East,61820,1,29,3.5,IL
lrrUyxzlvqp-niBEj6_6dg,"['Greek', 'Restaurants']",Urbana,1,40.1161404,-88.2216747,Niro's Gyros,61801,1,45,3.5,IL
PzRgohlnHNN0C0Len1At0Q,"['Caterers', 'Mexican', 'Event Planning & Services', 'Restaurants', 'Fast Food']",Urbana,1,40.1094444773,-88.2272046804,QDOBA Mexican Eats,61801,1,9,3.5,IL
KkpX5EdixY0C5gUq8BcmCA,['Restaurants'],Camargo,1,39.7916937,-88.1899938,J & J's Burgers & Beer,61919,0,3,5.0,IL
Z71v81M8PWDsKhi9znwX7A,"['Nightlife', 'Bars', 'Restaurants', 'Barbeque']",Mahomet,1,40.19449,-88.400274,Project 47,61853,0,3,4.5,IL
RQxLNvAra_MUUPHdhukilA,"['Nightlife', 'Restaurants', 'Bars', 'American (New)']",Champaign,1,40.0938755447,-88.2377565934,Houlihan's,61820,2,80,3.0,IL
Icj9QzQxqvzOmPm_liAq1Q,"['Hotels', 'Party & Event Planning', 'Venues & Event Spaces', 'Restaurants', 'Caterers', 'Active Life', 'Event Planning & Services', 'American (New)', 'Recreation Centers', 'Hotels & Travel']",Champaign,1,40.0991265,-88.2462073,Hilton Garden Inn,61820,2,33,3.5,IL
DDm_333l9fHzlv7yfuF5dQ,"['Sandwiches', 'Fast Food', 'American (New)', 'Restaurants']",Champaign,1,40.0846950551,-88.2462913487,Arby's,61820,1,3,2.5,IL
RnGG5bAz4nTPo_Ui99Kzbg,"['Cafes', 'American (New)', 'Breakfast & Brunch', 'Restaurants']",Champaign,1,40.0872123679,-88.2480189793,Le Peep Restaurant,61820,2,99,3.5,IL
-LfTBo0oa_uD454ScEW2XA,"['Sandwiches', 'Restaurants', 'Diners', 'American (Traditional)']",Champaign,1,40.1181331448,-88.242899908,Merry-Ann's Diner,61820,1,43,3.5,IL
pFvyOYi1O5umrbzGVYSYKg,"['Restaurants', 'Florists', 'Shopping', 'Gift Shops', 'Salad', 'Food', 'Specialty Food', 'Juice Bars & Smoothies', 'Chocolatiers & Shops', 'Flowers & Gifts']",Champaign,1,40.1373077478,-88.2400815226,Edible Arrangements,61820,3,3,5.0,IL
9XMOJYI0jh6cycrZK9Js4g,"['Burgers', 'American (Traditional)', 'Restaurants']",Champaign,1,40.1423318,-88.2429304,Campus Burger,61820,0,6,2.5,IL
MA5R-mV6ljRM1MK6Mdiv5g,"['Financial Services', 'Banks & Credit Unions', 'Fast Food', 'Restaurants', 'Chinese']",Champaign,1,40.1427776,-88.243865,Panda Express,61820,1,7,3.5,IL
gUTz4Y3GIPq8zq1Mi-kHzw,"['Restaurants', 'Chicken Wings', 'Fast Food']",Savoy,1,40.0712,-88.2487,KFC,61874,1,9,2.0,IL
e88VWa9xdHmSFdMZne9eLQ,"['Chinese', 'Restaurants']",Champaign,1,40.1100319,-88.2330779,Mandarin Wok,61820,1,55,3.5,IL
-fiUXzkxRfbHY9TKWwuptw,"['Breweries', 'American (New)', 'Gluten-Free', 'Breakfast & Brunch', 'Restaurants', 'Food']",Champaign,1,40.1189773,-88.2442721,DESTIHL Restaurant & Brew Works,61820,2,449,4.0,IL
vt2NMSbKpVN0r0HI6Az4bw,"['Cafes', 'American (New)', 'Restaurants']",Urbana,1,40.1047765,-88.2246853,Bevier Cafe,61801,1,24,4.5,IL
5bTjUBhGbild5tuzfAmIJg,"['Restaurants', 'Diners', 'Breakfast & Brunch', 'Comfort Food', 'American (Traditional)']",Champaign,1,40.1432615061,-88.2547938824,Denny's,61822,1,36,2.0,IL
WNaPTdGUMiBZpA5MFMZ4-A,"['Diners', 'Restaurants', 'Breakfast & Brunch', 'American (Traditional)']",Mahomet,1,40.1953569,-88.4258636,Mahomet Family Restaurant,61853,1,17,3.5,IL
5-Z7VmiTqD4ycnrxfBJGmQ,"['Sandwiches', 'Restaurants', 'Italian', 'Pizza']",Saint Joseph,1,40.118587,-88.041453,Monical's Pizza,61873,3,4,2.0,IL
zTGxLMOd9crAz0XNzqrcrA,"['Restaurants', 'Chinese']",Champaign,1,40.110554,-88.232373,Empire Chinese Restaurant,61820,1,47,3.5,IL
ZMcbVIEXsLO7j1Q1GXKPSw,"['Restaurants', 'Korean']",Champaign,1,40.1111783,-88.2288831,A-Ri-Rang,61820,1,43,3.5,IL
sKToYrrPP4VWzpIy94pLgg,"['Restaurants', 'Fast Food', 'American (Traditional)']",Mahomet,1,40.1956974,-88.3998825,Charleys Philly Steaks,61853,1,6,4.0,IL
gnqHyA6gY2-m9S-FKt6Xqw,"['Chinese', 'Asian Fusion', 'Restaurants', 'Malaysian']",Champaign,1,40.1112203703,-88.2290604075,Cravings,61820,1,144,4.0,IL
WDTzX_C2CbAwxBbqm-od6g,"['Bars', 'Arts & Entertainment', 'Nightlife', 'Pubs', 'Restaurants', 'Music Venues']",Champaign,1,40.1175498,-88.2431341,Cowboy Monkey,61820,2,46,3.0,IL
zp3rZNu-5qonTL3ByPYOUg,"['Restaurants', 'Sandwiches']",Champaign,1,40.1092381,-88.2315641,Fat Sandwich Company,61820,1,81,3.5,IL
v_xTE55R62m7riTP7nWgAA,"['Tex-Mex', 'Mexican', 'Restaurants', 'Fast Food']",Rantoul,1,40.30798092,-88.1778450041,Taco Bell,61866,1,8,1.0,IL
w5YH9J_ReVTKXobqs7yYZg,"['Restaurants', 'Sandwiches', 'Fast Food']",Savoy,1,40.0703348,-88.249746,Subway,61874,0,5,1.5,IL
abA0s0uxoeOn7zNm-1dDxw,"['Cafes', 'Sandwiches', 'Restaurants', 'Italian', 'Pizza']",Champaign,1,40.1101105,-88.2292247,Mia Za's Cafe,61820,1,78,3.0,IL
6OpLHgun6qHmrX1JmHL4zQ,"['Italian', 'Restaurants', 'Pizza']",Rantoul,1,40.3081995,-88.155194,Monical's Pizza,61866,2,10,3.5,IL
O3zVw-VAcJi8ta4B6v5iAA,"['Food', 'American (Traditional)', 'Delis', 'Nightlife', 'Specialty Food', 'Restaurants', 'Beer', 'Wine & Spirits', 'Wine Bars', 'Cheese Shops', 'Sandwiches', 'Bars']",Champaign,1,40.0831838,-88.264391,Sun Singer Wine and Spirits,61821,2,85,4.0,IL
tQaIWc9qeiB1IU163LKlAw,"['Chinese', 'Fast Food', 'Restaurants']",Champaign,1,40.1105984,-88.2290979,Panda Express,61820,2,13,3.0,IL
9pQsVUScSzreqYLU7p5oaQ,"['Fast Food', 'American (New)', 'Restaurants']",Monticello,1,40.0272571,-88.5730373,Hardee's,61856,1,6,3.0,IL
hMgIF04rrJ7oB1lGIpFt5w,"['Chinese', 'Restaurants']",Champaign,1,40.112114,-88.241292,South China Restaurant,61820,2,35,3.5,IL
wgImSrYc5LOcFaMcbOuxkg,"['Restaurants', 'Sandwiches', 'Chicken Wings', 'Pizza']",Champaign,1,40.0972527,-88.2768244,Domino's Pizza,61821,1,9,4.0,IL
ZGIkQIh3KTLM1yOCNpvU5Q,"['Restaurants', 'Diners', 'Juice Bars & Smoothies', 'Fast Food', 'Burgers', 'Breakfast & Brunch', 'American (New)', 'Food']",Champaign,1,40.1404213,-88.2573123,Steak 'n Shake,61822,1,38,2.0,IL
ckdGk8ForF9zEczmu4-tTA,"['Organic Stores', 'Cafes', 'Vitamins & Supplements', 'Bakeries', 'Health Markets', 'Restaurants', 'Grocery', 'Specialty Food', 'Food', 'Shopping', 'Coffee & Tea']",Urbana,1,40.1126128,-88.2113898,Strawberry Fields,61801,2,19,3.0,IL
DUQxjfbYLtg5lhAJ1K94Hw,"['Salad', 'Pizza', 'Restaurants', 'Lounges', 'Cocktail Bars', 'Nightlife', 'Bars']",Urbana,1,40.1112368,-88.2071833,Flyght Bar and Lounge,61801,0,3,4.5,IL
L4WXLHf2p_qoLgiPwzTSgA,['Restaurants'],Rantoul,1,40.3069842,-88.1562185,Hardee's,61866,2,7,2.0,IL
k6m3Msok7bto6biv5guEzg,"['Mexican', 'Restaurants']",Champaign,1,40.0918386724,-88.245879896,Pancheros Mexican Grill,61821,1,10,2.5,IL
NEVA0IYbawceL6kz5v5DAw,"['Asian Fusion', 'Sushi Bars', 'Restaurants']",Champaign,1,40.1185666238,-88.2432330386,Kofusion,61820,2,237,3.5,IL
t_yiQnxUDdPPCN2z4QyezA,"['Chinese', 'Taiwanese', 'Restaurants']",Champaign,1,40.1111456,-88.2441689,Golden Harbor Authentic Chinese Cuisine,61820,2,337,4.5,IL
