GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
0500000US01003,1003,"Baldwin County, Alabama",76779,3010,74892,4192,70.2,2.7,77076,4879,21.1,2.4,16211,5092,39.8,2.8,19932,919,5.5,1.3,10300,1496,0.6,0.3,1390,515,26.3,2.2,29136,4022,49943,3287,93516,5613,22.6,2.4,57819,8599,31.6,4.1,80909,10390,32.4,3.8,123225,10436,5.8,1.6,91172,30060,5.9,1.9,131709,17750,1.7,1.2,111494,40925,208563,,29977,1456,86.5,0.5,31953,1684,9,0.6,14788,2972,0.7,0.6,,,0.4,0.2,47256,30390,0,0.1,,,0.7,0.5,25513,7876,2.6,0.7,19343,11705,4.4,,12836,4213,83,0.3,32881,1736,36.3,,,,38.6,,,,30.5,,,
0500000US01015,1015,"Calhoun County, Alabama",43972,1687,58992,5020,69.4,3,59439,5299,13.1,2,16573,9603,40.5,2.8,17017,1001,6.4,1.6,9468,1477,1.7,0.8,3602,2442,24.4,2.7,27767,14132,30403,1889,68916,6584,23.2,3.2,36288,4208,35.8,4.6,71592,16616,24.3,4,84194,7592,9.4,2.9,76751,28914,5.3,2.4,104862,16626,1.9,1.2,81341,11864,114611,,23818,2156,73.6,0.8,25648,2713,21.1,0.5,18491,2702,0.7,0.8,9010,11386,0.9,0.2,,,0,0.1,,,1.9,0.9,10301,5479,1.8,0.6,9553,3545,3.6,,10562,3534,72.6,0.1,25790,2737,35.4,,,,35.6,,,,26.3,,,
0500000US01043,1043,"Cullman County, Alabama",30299,1234,54412,4271,64.6,3.8,60721,5791,14.8,2.9,13435,4582,40.6,3.7,19030,1166,5.1,2,12011,4091,1.5,1,2710,1453,22.1,3.2,18432,2628,21551,1384,63914,5327,25.1,4.4,32551,5139,32.7,5.1,56651,8698,25.6,4.7,80044,7870,8.1,2.9,94368,35967,6.2,3,110415,24780,2.5,1.5,95375,45888,82471,,21237,1832,95.8,0.7,21514,1889,1.3,0.3,14595,8400,0.8,0.6,21132,21253,0.9,0.6,11459,4598,0,0.2,,,0.7,0.7,11930,3849,0.6,0.4,15983,12652,4.3,,9118,2558,92.3,0.2,21998,1950,34.5,,,,33.1,,,,28.3,,,
0500000US01049,1049,"DeKalb County, Alabama",25383,1190,48529,4224,68.4,4,50842,4810,12.4,3.2,15536,9103,39.5,3.4,16616,1135,7.4,2.5,8283,2285,2.1,1.4,1145,377,18.9,3.2,20051,2700,18834,1335,54066,4666,21.8,4.2,32594,6185,37.5,6,46865,7632,25.2,5.1,67011,10841,6.8,3.1,45866,7956,7.4,3.1,113451,32585,1.3,1.1,76655,31666,70900,,19215,1343,87.6,3.6,20234,1515,1.5,0.3,10943,5856,1.2,0.8,11656,12149,0.1,0.1,,,0.1,0.2,,,7.2,3.6,9226,2667,2.2,0.9,22212,16484,14.3,,8923,1120,80.7,0.1,21223,1557,38.2,,,,40.1,,,,30,,,
0500000US01051,1051,"Elmore County, Alabama",29350,1102,71553,7080,73,4.1,74781,8426,17,2.8,9254,4056,32.6,3.1,19990,1730,6.5,3,8602,1799,1.7,1,1859,972,26,3.9,26366,3301,21413,1872,82014,9423,20.9,5.1,39824,9772,30.4,5.6,63349,11078,31.3,5.5,110777,14127,8.4,3.2,78199,20139,7.5,3.2,160846,51898,1.4,1.6,74830,11363,81799,,26230,2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7,,,73.4,0.2,29463,2744,34.1,,,,35,,,,27.2,,,
0500000US01055,1055,"Etowah County, Alabama",38766,1489,55243,3843,66.4,3.4,59322,5218,15.4,2.6,11250,3942,43,3.2,18357,1057,7.4,1.9,7971,1302,0.7,0.7,,,23.8,2.7,19460,2391,26348,1553,65211,5370,22.8,3.6,37890,6441,38.8,5.6,55891,8706,24.7,4.2,96336,11495,6.7,2.5,49415,10157,5.6,1.7,116441,12731,1.4,0.9,93046,30160,102564,,22117,1515,81.1,1,23929,1735,16,1.2,14934,2415,0.5,0.4,,,0.8,0.1,16865,7762,0,0.2,,,0.1,0.2,,,1.5,0.8,10532,6882,3.8,,10401,3485,78,0.2,24446,1764,39.7,,,,39.5,,,,31.9,,,
0500000US01069,1069,"Houston County, Alabama",39167,959,59912,2517,71.2,2,61384,2684,15.8,1.3,15627,5518,36.2,1.3,18375,623,8.1,1.2,8964,976,1.2,0.4,2456,920,21.9,1.6,22608,2959,25102,1015,71527,3121,20.9,2.1,43772,7428,37.8,3,62067,5235,27.9,2.6,98685,5777,7.3,1.5,67435,11947,4.6,1.1,110782,16567,1.5,0.7,89553,28114,104056,,24013,942,69,0.6,27621,1211,26.7,0.4,15541,1300,0.4,0.2,15959,14106,1,0.1,42098,22651,0,0.2,,,1,0.6,15107,5736,1.9,0.4,8298,2642,3.2,,12149,2395,66.9,0.2,28122,1281,41.1,,,,40.5,,,,32.9,,,
0500000US01073,1073,"Jefferson County, Alabama",261904,4316,74945,2961,76.2,1.1,76651,3197,17.8,1,23569,5578,32.2,1,17802,465,7.1,0.8,9267,659,1.7,0.4,2398,620,19.2,1.1,23428,2361,164604,4611,93096,4661,14.8,1.3,46140,5556,36.5,1.9,81380,7900,28.2,1.7,126873,6885,10.5,1.2,84774,18807,7,0.9,131319,14726,3.1,0.7,89323,14133,659521,,30674,1200,51.6,0.3,40498,1942,42.5,0.6,20371,983,0.3,0.1,23342,10130,1.3,0.2,36443,7508,0,0.1,,,2.1,0.5,12854,2828,2.2,0.5,13861,4945,3.7,,15923,2208,50.1,0.1,41112,2034,38.9,,,,41.6,,,,31.6,,,
0500000US01077,1077,"Lauderdale County, Alabama",37875,1391,58691,3561,71.2,2.6,58672,4232,20,3,6553,2723,39,2.8,19563,1275,6,1.9,9210,1654,1.2,0.8,,,26.1,2.9,22960,2824,23256,1897,74114,5065,17.8,3.2,45308,7673,40.1,5.3,63355,8625,26.6,4,102043,12810,6.6,2.2,69476,11162,7.6,2.8,96345,14844,1.4,1.7,120982,28027,92318,,24592,1411,87.3,0.1,25188,1430,10.3,0.9,18155,3774,0.1,0.2,,,0.8,0.1,,,0.1,0.1,,,0.1,0.1,,,1.3,0.8,,,2.6,,5780,3590,84.8,0.2,25765,1449,45.2,,,,42.5,,,,34.2,,,
0500000US01081,1081,"Lee County, Alabama",59354,1783,64562,5188,78.8,2.2,65224,6063,15.2,1.8,13529,6571,28,3.3,16598,1265,3.9,1.3,11071,2667,1.3,1,,,16,2,26553,3616,35925,2319,84597,7787,13.4,2.4,44654,11652,23.3,3.8,76938,18310,40.1,4.6,104743,11419,14.3,4.4,60131,14592,7.6,2.5,119419,18946,1.3,1.5,75099,14860,158991,,25081,1770,69.9,0.7,27136,2195,23.9,1,20023,2219,0,0.1,,,4.2,0.3,24815,5795,0,0.1,,,0.5,0.5,,,1.4,0.8,15394,7160,3.8,,19065,5432,67.3,0.4,27432,2248,37.7,,,,38.3,,,,31.9,,,
