zip_code,state_x,county_x,combine,income
85001,az,maricopa,maricopaaz,81501.0
85002,az,maricopa,maricopaaz,81501.0
85003,az,maricopa,maricopaaz,81501.0
85004,az,maricopa,maricopaaz,81501.0
85005,az,maricopa,maricopaaz,81501.0
85006,az,maricopa,maricopaaz,81501.0
85007,az,maricopa,maricopaaz,81501.0
85008,az,maricopa,maricopaaz,81501.0
85009,az,maricopa,maricopaaz,81501.0
85010,az,maricopa,maricopaaz,81501.0
85011,az,maricopa,maricopaaz,81501.0
85012,az,maricopa,maricopaaz,81501.0
85013,az,maricopa,maricopaaz,81501.0
85014,az,maricopa,maricopaaz,81501.0
85015,az,maricopa,maricopaaz,81501.0
85016,az,maricopa,maricopaaz,81501.0
85017,az,maricopa,maricopaaz,81501.0
85018,az,maricopa,maricopaaz,81501.0
85019,az,maricopa,maricopaaz,81501.0
85020,az,maricopa,maricopaaz,81501.0
85021,az,maricopa,maricopaaz,81501.0
85022,az,maricopa,maricopaaz,81501.0
85023,az,maricopa,maricopaaz,81501.0
85024,az,maricopa,maricopaaz,81501.0
85025,az,maricopa,maricopaaz,81501.0
85026,az,maricopa,maricopaaz,81501.0
85027,az,maricopa,maricopaaz,81501.0
85028,az,maricopa,maricopaaz,81501.0
85029,az,maricopa,maricopaaz,81501.0
85030,az,maricopa,maricopaaz,81501.0
85031,az,maricopa,maricopaaz,81501.0
85032,az,maricopa,maricopaaz,81501.0
85033,az,maricopa,maricopaaz,81501.0
85034,az,maricopa,maricopaaz,81501.0
85035,az,maricopa,maricopaaz,81501.0
85036,az,maricopa,maricopaaz,81501.0
85037,az,maricopa,maricopaaz,81501.0
85038,az,maricopa,maricopaaz,81501.0
85039,az,maricopa,maricopaaz,81501.0
85040,az,maricopa,maricopaaz,81501.0
85041,az,maricopa,maricopaaz,81501.0
85042,az,maricopa,maricopaaz,81501.0
85043,az,maricopa,maricopaaz,81501.0
85044,az,maricopa,maricopaaz,81501.0
85045,az,maricopa,maricopaaz,81501.0
85046,az,maricopa,maricopaaz,81501.0
85048,az,maricopa,maricopaaz,81501.0
85050,az,maricopa,maricopaaz,81501.0
85051,az,maricopa,maricopaaz,81501.0
85053,az,maricopa,maricopaaz,81501.0
85054,az,maricopa,maricopaaz,81501.0
85055,az,maricopa,maricopaaz,81501.0
85060,az,maricopa,maricopaaz,81501.0
85061,az,maricopa,maricopaaz,81501.0
85062,az,maricopa,maricopaaz,81501.0
85063,az,maricopa,maricopaaz,81501.0
85064,az,maricopa,maricopaaz,81501.0
85065,az,maricopa,maricopaaz,81501.0
85066,az,maricopa,maricopaaz,81501.0
